name,adress,phone,mail,website_url,inventory
CNPS San Diego Seed and Bulb Sales,"San Diego, CA 92112",,seedsandbulbs@cnpssd.org,https://www.canativeseeds.com/,"['', 'Narrow Leaf Milkweed', 'Island Manzanita', 'Big Saltbush', 'Common Yarrow', ""Nuttall's Snapdragon"", 'Deer Plant', 'Purple Three Awn', 'Channel Islands Silver-lotus', 'Yerba Mansa', ""Menzies' Fiddleneck"", 'Cattle Saltbush', 'Coyote Bush', 'California Buckeye', 'Big Berry Manzanita', 'Sandmat Manzanita', 'San Diego Sagewort', 'California Adolphia', 'Refugio Manzanita', 'Common Fiddleneck', 'Mock Parsley', 'Red-skinned Onion', 'Early Onion', 'Rainbow Manzanita', 'Woolly Lotus', 'California Milkweed', 'Desert Agave', 'One Leaf Onion', 'Mugwort', ""Munz's Onion"", 'Island Broom', 'Sacapellote', 'Chicalote', 'Woollypod Milkweed', 'Eastwood Manzanita', 'Coastal Agave', 'Pomona Milk Vetch', 'White Alder', 'Jacumba Milkvetch', 'Quailbush', 'Santa Barbara Milk Vetch', 'Western False Indigo', 'Showy Milkweed', 'Dutchmans Pipe', 'Narrow Leaved Onion', 'Red Sand Verbena', 'Chamise', 'Coulter Snapdragon', 'Western Columbine', 'Pacific Madrone', 'Del Mar Manzanita', 'Shadscale', 'California Copperleaf', ""Palmer's Indian Mallow"", 'California Sagebrush', 'Big Sagebrush', 'Scytheleaf Onion', 'San Diego Ambrosia', 'Red Shanks']"
East Bay Wilds,"2777 Foothill Blvd (entrance on 28th Ave), Oakland, CA 94601",(510) 409-5858,pete@eastbaywilds.com,http://www.eastbaywilds.com/,"['Common Yarrow', 'Indianhemp Dogbane', 'Santa Lucia Fir', 'Balsam Fir', 'Deer Plant', 'Southern Maiden Hair', 'Emerald Carpet Manzanita', 'Yerba Mansa', 'Sierra Columbine', 'California Buckeye', 'Mount Diablo Manzanita', 'Ron Clendenen Manzanita', 'Sunset Manzanita', 'Greensphere Manzanita', 'Howard McMinn Manzanita', ""Van Houtte's Columbine"", 'Rosy Pussytoes', 'John Dourley Manzanita', 'Withered Snapdragon', 'California Maiden Hair Fern', ""Santa Cruz Island Bird's-foot Trefoil"", 'Desert Agave', 'California Angelica', 'One Leaf Onion', 'Nettle Leaf Giant Hyssop', 'Beach Bur', 'Vine Maple', 'Clark Mountain Agave', 'Sand Verbena', 'Coastal Agave', 'Desert Columbine', 'Big Leaf Maple', ""Elk's Clover"", ""Lutsko's Pink Manzanita"", 'Heartleaf Manzanita', 'Red Alder', 'Knobcone Point Mount Diablo Manzanita', 'Woolly Angelica', 'California Dandelion', ""Louis Edmunds Baker's Manzanita"", 'Santa Rosa Island Manzanita', 'Angelica', 'Chamise', 'Western Columbine', 'Austin Griffiths Manzanita', 'Five Finger Fern', 'Pacific Madrone', 'Coast Angelica', 'Pacific Mist Manzanita', 'Hoary Manzanita', ""Palmer's Indian Mallow"", 'Red Baneberry', 'Island Pink Yarrow', 'Pearly Everlasting', 'Service Berry', 'Chaparral Lotus', 'Sonoma Canescent Manzanita', 'Scytheleaf Onion', 'Woodland Madia', 'Red Shanks']"
SacValley CNPS Nursery & Gardens,"2140 Chase Drive Rancho Cordova, California 95670",,cnpschris@gmail.com,http://www.sacvalleycnps.org/nursery,"['California Coffeeberry', 'Narrow Leaf Milkweed', 'Common Yarrow', 'Spice Bush', 'Deer Plant', 'Great Valley Gumweed', 'Blue Dicks', 'California Melicgrass', 'Pacific Coast Hybrid Iris', 'Deergrass', 'California Buttonbush', ""Payne's Red Bush Monkeyflower"", 'Woodland Strawberry', ""Lemmon's Ceanothus"", 'Coyote Bush', 'California Buckeye', ""Piper's Barberry"", 'Howard McMinn Manzanita', 'Calistoga California Fuchsia', 'Soap Plant', 'Silver Lupine', 'Buckbrush', 'Coyote Mint', 'Silver Carpet Aster', 'Red-flowered Buckwheat', 'California Fescue', 'Toyon', 'Mugwort', 'Bush Monkey Flower', 'Hairy Ceanothus', ""Virgin's Bower"", 'Sticky Cinquefoil', 'Blue Wildrye', 'Brickell Bush', 'Western Redbud', 'Brown Dogwood', 'Foothill Sedge', 'Harvest Brodiaea', 'Leafy Fleabane', 'Soft Rush', 'Crevice Alumroot', 'Showy Milkweed', 'White Pitcher Sage', 'Dutchmans Pipe', 'Narrow Leaved Onion', 'Prairie Flax', 'Common Woolly Sunflower', 'Scarlet Monkeyflower', 'Sicklepod Rockcress', 'Pink Honeysuckle', 'Gaping Keckiella', 'Ookow', ""Everett's Choice California Fuchsia"", 'California Buckwheat', 'Hairy-fruited Hibiscus', 'Hoary Coffeeberry', 'California Fuchsia', 'Chaparral Honeysuckle', 'Mountain Mahogany', 'Dwarf Coyote Bush']"
Rolling Hills Herbs & Annuals,"1304 Rolling Hills Rd Redlands, CA 92374-6347",(909) 362-7658,cparker@rollinghillsherbs.com,https://www.rollinghillsherbs.com,"['Showy Milkweed', 'Narrow Leaf Milkweed']"
CNPS SCV Nursery,"26870 Moody Rd Los Altos Hills,, CA 94022",(650) 260-3450,info@cnps-scv.org,http://cnps-scv.org/plant-sales,"['Narrow Leaf Milkweed', 'Common Yarrow', 'Carmel Sur Little Sur Manzanita', 'Franciscan Manzanita', ""Carlotta Hall's Lace Fern"", 'Deer Plant', 'Frosty Blue Ceanothus', 'Southern Maiden Hair', 'Toro Manzanita', 'Sonoma Coast Yarrow', 'Yerba Mansa', 'Calistoga Yarrow', 'Sierra Columbine', 'Kings Mtn. Manzanita', 'California Buckeye', ""David's Choice Sagebrush"", 'Sunset Manzanita', 'Big Berry Manzanita', 'Common Ladyfern', 'Thrift Seapink', 'Howard McMinn Manzanita', 'Paradise Pajaro Manzanita', ""Van Houtte's Columbine"", 'Michally Sagewort', 'Soap Plant', 'John Dourley Manzanita', 'Warren Roberts Pajaro Manzanita', 'Western Houndstongue', 'Vandenberg La Purisima Manzanita', 'Buckbrush', 'Wild Ginger', 'California Milkweed', 'One Leaf Onion', 'Dr. Hurd Manzanita', 'Tall Oregon Grape', 'Dark Star Ceanothus', 'Pajaro Manzanita', 'Mugwort', ""Nevin's Barberry"", 'Myrtle Wolf Pajaro Manzanita', 'Bishop Manzanita', 'Julia Phelps Mountain Lilac', 'Spring Charm Coast Rock Cress', 'Showy Milkweed', 'Dutchmans Pipe', 'Ray Hartman Ceanothus', ""Louis Edmunds Baker's Manzanita"", 'Bush Anemone', 'Columbian Monkshood', 'Chamise', 'Nicolas Chamise', 'Western Columbine', 'Five Finger Fern', 'Pacific Madrone', 'Pacific Mist Manzanita', ""Palmer's Indian Mallow"", 'Pearly Everlasting', 'Rosy Dawn Little Sur Manzanita', 'Mountain Mahogany', 'Dwarf Coyote Bush']"
Lower American River Native Plant Nursery,"467 Del Paso Boulevard Sacramento, CA 95815",(916) 731-8798,info@sacramentovalleyconservancy.org,https://sacramentovalleyconservancy.org/nursery/,
Terra Wild,,951-595-1899,terrawildllc@gmail.com,http://www.terrawildplants.com,"['Narrow Leaf Milkweed', 'Sierra Salmon California Fuchsia', 'Yankee Point Carmel Ceanothus', 'Sonoma Coast Yarrow', ""Bert's Bluff Fuchsia"", ""David's Choice Sagebrush"", 'Marin Pink California Fuchsia', ""Hearst's Ceanothus"", 'Concha Ceanothus', 'Carmel Creeper Ceanothus', 'Dark Star Ceanothus', 'Beach Aster Cape Sebastian', 'Julia Phelps Mountain Lilac', 'Ray Hartman Ceanothus', 'Red Velvet Yarrow', 'W.R. Seaside Daisy', 'Paprika Common Yarrow', 'Island Pink Yarrow', 'Dwarf Coyote Bush']"
Fairfax Native Plant Nursery,"Fairfax, CA 94930",(415)662-3322,fairfaxnativeplants@gmail.com,https://fairfax-native-plant-nursery.company.site/,"['Tanoak', 'Pacific Madrone', 'Baldhip Rose', 'Douglas Iris', ""Sargent's Cypress"", 'Mount Tamalpais Manzanita', 'California Buckeye']"
Antelope Valley Resource Conservation District,"10148 west Ave. I Lancaster, California 93536",(661) 942-7306,socialmedia.avrcd@gmail.com,https://avrcd.specialdistrict.org/,
Mojave Desert Land Trust,"60124 29 Palms Highway Joshua Tree, CA 92252-4130",7603665440,plantsales@mdlt.org,http://www.mdlt.org,
Botanica,"3970 Azalea Lane Sebastopol, CA 95472",707-823-6832,info@botanicanurseryandgardens.com,http://www.botanicanurseryandgardens.com,
Devil Mountain Wholesale Nursery,"2499 Hillside Blvd Colma, CA 94014",(650) 755-2330,Colma@devilmountainnursery.com,http://www.devilmountainnursery.com,"['Black Butte Yarrow', 'Narrow Leaf Milkweed', 'Big Saltbush', 'Common Yarrow', 'Bert Johnson Little Sur Manzanita', 'Carmel Sur Little Sur Manzanita', 'Spice Bush', 'Sand Dune Sedge', 'Mulefat', 'Lester Rowntree Manzanita', 'Sonoma Coast Yarrow', 'Emerald Carpet Manzanita', 'Yerba Mansa', 'Calistoga Yarrow', 'Purple Three Awn', 'California Buckeye', ""David's Choice Sagebrush"", 'Sunset Manzanita', 'Common Ladyfern', 'Leafy Reed Grass', 'Howard McMinn Manzanita', 'Paradise Pajaro Manzanita', 'Refugio Manzanita', 'John Dourley Manzanita', 'Warren Roberts Pajaro Manzanita', 'Compacta Oregon Grape', 'Pacific Reedgrass', 'Wild Ginger', 'Canyon Gray Sagebrush', 'Dr. Hurd Manzanita', 'Tall Oregon Grape', 'Vine Maple', 'Mugwort', 'Green Supreme Manzanita', 'Deer Fern', ""Monterey Carpet Hooker's Manzanita"", 'Point Reyes Bearberry Manzanita', 'Incense Cedar', 'Big Leaf Maple', 'White Alder', 'Sentinel Vine Hill Manzanita', ""Wayside Hooker's Manzanita"", 'Showy Milkweed', 'Dutchmans Pipe', ""Louis Edmunds Baker's Manzanita"", 'Austin Griffiths Manzanita', 'Radiant Bearberry Manzanita', 'Pacific Mist Manzanita', 'Dwarf Mahonia', ""Palmer's Indian Mallow"", 'Montara Sagebrush', 'Oregon Grape', 'California Sagebrush', 'Valley Sedge', 'Rosy Dawn Little Sur Manzanita', 'Blue Grama', 'St. Helena Manzanita', 'Torrent Sedge', 'Dwarf Coyote Bush', ""Ken Taylor Hooker's Manzanita""]"
I Heart California Native Plants,"1598 Sir Francis Drake Blvd #7, San Anselmo, CA 94960",(949) 873-3814,iheartcanativeplants@gmail.com,https://lupinegirlnativeplants.org,
Californica Nursery,"Long Beach, CA 90803",(562) 472-9516,info@californicanursery.com,http://www.californicanursery.com,"['Coffeeberry', 'Narrow Leaf Milkweed', 'Mountain Mahogany', 'Common Yarrow', 'Deer Plant', 'Mulefat', 'Purple Three Awn', 'Yerba Mansa', 'Coyote Bush', 'Lanceleaf Liveforever', 'Bladderpod', 'California Buckeye', 'Big Berry Manzanita', 'Sea Cliff Buckwheat', 'Fingertips', 'Island Ceanothus', ""St. Catherine's Lace"", 'Soap Plant', 'Red fairyduster', 'San Diego Sedge', 'California Goosefoot', 'Island Snapdragon', 'Bluff Lettuce', 'Greenbark Ceanothus', 'California Aster', 'Golden Yarrow', 'Low Canyon Dudleya', 'San Diego County Viguiera', 'California Fescue', 'Mugwort', 'Island Morning Glory', 'Woollypod Milkweed', 'Coastal Cholla', 'Blue Wildrye', 'Brickell Bush', 'Coastal Agave', 'Western Redbud', 'Sacred Datura', 'Sticky Dudleya', 'Beach Primrose', 'Giant Wildrye', 'Creeping Wild Rye', 'Chalk Dudleya', 'Ashyleaf Buckwheat', 'Quailbush', 'Santa Barbara Milk Vetch', 'Clustered Field Sedge', 'Seep Monkey Flower', 'Bush Monkeyflower', 'Red Sand Verbena', 'Coast Dudleya', 'Bush Sunflower', 'Pink Sand Verbena', 'Cobweb Thistle', 'California Sagebrush', 'Island Green Dudleya', 'California Buckwheat', 'California Fuchsia', 'Beach Bur', 'Red Bush Monkeyflower']"
Soquel Nursery Growers,"3645 N Main St Soquel, CA 95073",(831) 475-3533,info@soquelnursery.com,https://www.soquelnursery.com/,"[""Britton's Dudleya"", 'Narrow Leaf Milkweed', 'Firecracker Penstemon', 'Spice Bush', 'California Wax Myrtle', 'Tufted Poppy', 'Coastal Bush Lupine', 'Sand Dune Sedge', ""Davidson's Penstemon"", 'Santa Cruz Island Buckwheat', 'Common Rush', 'Red Fescue', 'Fragrant Pitcher Sage', 'Brittlebush', 'Fryingpans', 'Fivespot', 'Leafy Reed Grass', 'Variable Linanthus', 'Desert Penstemon', 'Sea Cliff Buckwheat', 'Miniature Lupine', 'Leathery Polypody', ""St. Catherine's Lace"", 'Redwood Sorrel', 'Silver Lupine', 'Island Snapdragon', 'Elegant Lupine', 'California Goldfields', 'Desert Candle', 'Santa Cruz Island Scarlet Monkeyflower', 'California Fescue', 'Toyon', 'Sticky Monkeyflower', 'Beaked Penstemon', 'Grape Soda Lupine', 'Island Alum Root', 'Longleaf Bush Lupine', 'Deer Fern', 'Ruby Chalice Clarkia', 'Douglas Iris', 'Incense Cedar', 'Yerba Buena', 'Climbing Penstemon', 'Harlequin Lupine', 'California Poppy', 'Great Valley Phacelia', 'Clustered Field Sedge', 'Showy Milkweed', 'White Pitcher Sage', 'Calico Monkeyflower', 'Bush Anemone', 'Western Columbine', 'Seaside Daisy', 'Bush Sunflower', ""Palmer's Indian Mallow"", 'Unfurled Bushmallow', 'California Buckwheat', 'California Fuchsia', 'Blue Grama', 'Wicker Buckwheat']"
Manzanita Nursery,"880 Chalk Hill Rd Solvang, CA 93463",(805) 688-9692,manzanitanursery@earthlink.net,http://www.manzanitanursery.com,
Cole Hardware,"956 Cole street 956 Cole Street, San Francisco, California 94117",(415) 753-2653,buyer@colehardware.com,https://www.colehardware.com/,"['Narrow Leaf Milkweed', 'Common Snowberry', 'Frosty Blue Ceanothus', 'Firecracker Showy Island Snapdragon', 'Woodland Strawberry', 'Yankee Point Carmel Ceanothus', 'Aptos Blue Redwood', 'Lanceleaf Liveforever', 'Twin Peaks No. 2 Dwarf Coyote Brush', 'Blue Springs Foothill Penstemon', ""David's Choice Sagebrush"", 'Howard McMinn Manzanita', 'Coyote Mint', 'Concha Ceanothus', 'Desertbells', 'White Sage', 'Threenerve Goldenrod', ""Coulter's Matilija Poppy"", 'Carmel Creeper Ceanothus', 'Blue Jeans Mountain Lilac', 'Dark Star Ceanothus', 'Toyon', 'Margarita BOP Penstemon', 'Mikado California Poppy', 'Deer Fern', 'Pacific Sunset Flannel Bush', 'Casitas Chaparral Mallow', 'White-flowered Seaside Daisy', 'California Poppy', 'Blue Ray Ceanothus', 'California Brodiaea', 'Showy Milkweed', 'Western Sword Fern', 'Portuguese Beach Pacifica Iris', 'Emily Brown Navarro Ceanothus', 'Anchor Bay Mountain Lilac', 'Snow Flurry Mountain Lilac', 'Western Columbine', 'Claremont Pink-flowering Currant', 'Wheeler Canyon Mountain Lilac', 'Chaparral Currant', 'Blue Grama', 'Purple Nightshade']"
Drought Resistant Nursery,"850 Park Ave Monterey, California 93940",(831) 375-2120,drnparksales@gmail.com,https://droughtresistant.com/,
High Country Gardens,"1071 N 2000 W Clinton, Utah 84015",(801) 769-0300,plants@highcountrygardens.com,https://www.highcountrygardens.com/,"[""Palmer's Penstemon"", 'Lacy Phacelia', 'Narrow Leaf Milkweed', 'Sunset Strain Cliff Maids', 'Rocky Mountain Goldenrod', 'Apache Plume', 'Cardinal Flower', 'Desertbells', 'Davis Showy Milkweed', 'Desert Sage', ""Prince's Plume"", 'Vanilla Grass', 'Curl Leaf Mountain Mahogany', 'Side Oats Grama', 'Baby Blue Eyes', 'Beaked Penstemon', 'Little Plum Cliff Maids', 'Desert Peach', 'Clark Mountain Agave', 'Arrowleaf Buckwheat', 'Fern Bush', ""Old Man's Whiskers"", 'Desert Snow Littleleaf Mock Orange', 'Little Peach Cliff Maids', 'Dense Flowered Platycarpos', 'skunk bush', ""Munro's Globemallow"", 'Succulent Lupine', 'California Poppy', 'Sunflower', 'Rush Blue Grass', 'Showy Milkweed', 'Red Velvet Yarrow', 'Paprika Common Yarrow', 'Marian Sampson Coyote Mint', 'Shadscale', 'Cape Blanco Common Stonecrop', 'Claremont Pink-flowering Currant', 'Little Raspberry Cliff Maids', 'Sticky Geranium']"
Mariposa Native Plants,"5274 Yosemite Oaks Road Mariposa, CA 95338",(209) 742-1540,mariposanativeplants@gmail.com,http://www.mariposanativeplants.com,"['Canyon Dudleya', 'Narrow Leaf Milkweed', 'Mountain Mahogany', 'Common Manzanita', 'Big Saltbush', 'Common Yarrow', 'Spice Bush', 'Balsam Fir', 'Heart Leaf Milkweed', 'Blue Dicks', 'Mulefat', 'Whiteleaf Manzanita', 'California Buttonbush', 'Mountain Whitethorn', 'Coyote Bush', 'Horsetail', 'Rubber Rabbitbrush', 'California Buckeye', 'Howard McMinn Manzanita', 'Deerbrush', 'Buckbrush', 'Kinnikinnick', 'Concha Ceanothus', 'California Milkweed', 'One Leaf Onion', 'Tall Oregon Grape', 'California Hazel', 'Mugwort', 'Woollyleaf Ceanothus', 'Bush Monkey Flower', 'California Yerba Santa', 'Woollypod Milkweed', 'Sticky Cinquefoil', 'Western Redbud', 'Incense Cedar', 'Big Leaf Maple', 'Desert Willow', 'Foothill Sedge', 'Brown Dogwood', 'White Alder', 'Clustered Field Sedge', 'Showy Milkweed', 'Dutchmans Pipe', 'Ray Hartman Ceanothus', 'Bush Anemone', 'Pinemat', 'Western Columbine', 'Blueblossom Ceanothus', 'Pacific Madrone', 'Dwarf Mahonia', 'Woolly Milkweed', 'Bleeding Heart', 'Pacific Dogwood', 'California Sagebrush', 'Valley Sedge', 'California Fuchsia', 'Big Sagebrush', 'Blue Grama', 'Dwarf Coyote Bush', 'Greenleaf Manzanita']"
Griggs Wholesale Gardens,"400 Casserly Road Watsonville, California 95076",(831) 728-2595,info@griggswholesale.com,https://griggswholesalegardens.com,"['White Cloud Santa Cruz Manzanita', 'Common Yarrow', 'Bert Johnson Little Sur Manzanita', 'Carmel Sur Little Sur Manzanita', 'Lester Rowntree Manzanita', 'Toro Manzanita', 'Sonoma Coast Yarrow', 'Emerald Carpet Manzanita', 'Yerba Mansa', 'California Buckeye', 'Sunset Manzanita', 'Howard McMinn Manzanita', 'Paradise Pajaro Manzanita', 'John Dourley Manzanita', 'Warren Roberts Pajaro Manzanita', 'Dr. Hurd Manzanita', 'Vine Maple', 'Green Supreme Manzanita', ""Monterey Carpet Hooker's Manzanita"", ""Lutsko's Pink Manzanita"", 'Sentinel Vine Hill Manzanita', ""Wayside Hooker's Manzanita"", 'Dutchmans Pipe', ""Louis Edmunds Baker's Manzanita"", ""Wood's Compact Bearberry Manzanita"", 'Western Columbine', 'Austin Griffiths Manzanita', 'Pacific Madrone', 'Radiant Bearberry Manzanita', 'Pacific Mist Manzanita', ""Palmer's Indian Mallow"", 'Big Sur Manzanita', 'St. Helena Manzanita', ""Ken Taylor Hooker's Manzanita""]"
